reference,name,developmentPlan,developmentPlanEvent,eventDate,notes,organisation,entryDate,startDate,endDate
39b7f5e2-beba-43d7-b20d-d9ca3b710f80,dorcester-new-local-plan,bc1d31cc-a331-408a-8780-ac32ad930bfc,timetable-updated,2024-01-05,,,2024-02-02T15:46:14.144Z,2024-02-02T15:46:14.144Z,
7336edfb-8db3-4bbc-806f-4a0895cdeea6,dorcester-new-local-plan,bc1d31cc-a331-408a-8780-ac32ad930bfc,local-development-scheme-published,2024-01-05,,,2024-02-02T15:46:14.144Z,2024-02-02T15:46:14.144Z,
267645e9-7643-4d00-a33c-cebc39e898ef,dorcester-new-local-plan,bc1d31cc-a331-408a-8780-ac32ad930bfc,public-consultation-start,2024-01,This is the first opportunity for people in the community to share local priorities and feedback on the policy areas that will underpin the Local Plan.,,2024-02-02T15:46:14.144Z,2024-02-02T15:46:14.144Z,
2968bdd3-6ea0-4129-b3ad-10980bfb396a,dorcester-new-local-plan,bc1d31cc-a331-408a-8780-ac32ad930bfc,public-consultation-end,2024-04,,,2024-02-02T15:46:14.144Z,2024-02-02T15:46:14.144Z,
9c45718b-55e4-4130-a590-0c7fb72ceef4,dorcester-new-local-plan,bc1d31cc-a331-408a-8780-ac32ad930bfc,publication-start,2024-04,A second opportunity for communities and other stakeholders to comment on the draft Local Plan.,,2024-02-02T15:46:14.144Z,2024-02-02T15:46:14.144Z,
70ce45bb-509e-4749-9d61-4a05315bc7e1,dorcester-new-local-plan,bc1d31cc-a331-408a-8780-ac32ad930bfc,publication-end,2024-05,,,2024-02-02T15:46:14.144Z,2024-02-02T15:46:14.144Z,
d26178c6-8c07-448e-890b-b4332ec0dcae,dorcester-new-local-plan,bc1d31cc-a331-408a-8780-ac32ad930bfc,plan-submitted-for-examination,2024-09,,,2024-02-02T15:46:14.144Z,2024-02-02T15:46:14.144Z,
f602ce0b-1abd-491f-bb58-46ec8feb7c0f,dorcester-new-local-plan,bc1d31cc-a331-408a-8780-ac32ad930bfc,examination-hearing-start,2025-09,The new Local Plan is checked to make sure it is sound and legally compliant.,,2024-02-02T15:46:14.144Z,2024-02-02T15:46:14.144Z,
9d238d4d-4635-4f82-8a60-ccfdab0b2c99,dorcester-new-local-plan,bc1d31cc-a331-408a-8780-ac32ad930bfc,examination-hearing-end,2025-10,,,2024-02-02T15:46:14.144Z,2024-02-02T15:46:14.144Z,
b85f4dbc-30af-4d30-943b-c0c103b296c8,dorcester-new-local-plan,bc1d31cc-a331-408a-8780-ac32ad930bfc,plan-adopted,2025-12,When the new Local Plan will be adopted and used to inform the development of the area.,,2024-02-02T15:46:14.144Z,2024-02-02T15:46:14.144Z,
